message,label
"Hey, how are you doing today?",ham
"Win a free iPhone now!!!",spam
"Reminder: Meeting at 2 PM",ham
"Claim your prize. You've won $1 million!",spam
"I'm on my way. Will be there in 5 minutes.",ham
"URGENT: Your account needs verification. Click the link.",spam
"Don't forget to pick up groceries on your way home.",ham
"Congratulations! You've been selected for a special offer.",spam
"Can we reschedule our appointment to tomorrow?",ham
"Last chance to avail the exclusive discount. Limited stock!",spam
"Movie night tonight. Are you in?",ham
"Your Amazon order has been shipped. Track your package now.",spam
"Feeling hungry? Order now and get 20% off on your first meal.",spam
"Meeting canceled. Enjoy your free time!",ham
"URGENT: Immediate action required. Your account is suspended.",spam
"Happy birthday! Wishing you a fantastic day.",ham
"Unlock the secrets to weight loss with our new fitness program.",spam
"Traffic is heavy. I might be a bit late.",ham
"Your credit card statement for this month is now available.",spam
"Let's catch up for coffee this weekend.",ham
"Exclusive offer for our loyal customers. Shop now and save!",spam
"Can you please send me the meeting agenda?",ham
"Congratulations! You've won a luxury vacation for two.",spam
"Reminder: Parent-Teacher meeting tomorrow at 4 PM.",ham
"Limited-time offer: Buy one, get one free on selected items.",spam
"Working late tonight. Will be home by 9 PM.",ham
"URGENT: Your password has been reset. Click to confirm.",spam
"Enjoy the weekend with our special discount on all products.",spam
"Late for the party. Save me a dance!",ham
"Your Netflix subscription has been renewed. Enjoy watching!",ham
"Claim your free trial of our premium membership now.",spam
"Let's plan a family outing this Sunday.",ham
"Exclusive pre-sale access for our valued customers. Don't miss out!",spam
"Can you pick up some milk on your way home?",ham
"Breaking news: Special discounts on electronics this weekend!",spam
"Apologies, but I won't be able to make it to the meeting.",ham
"Double your savings with our end-of-season clearance sale.",spam
"Family barbecue at our place next weekend. Save the date!",ham
"URGENT: Your account is locked. Verify your identity.",spam
"Meeting at the park for a morning jog. Join us!",ham
"Limited stock available. Grab your favorite items now!",spam
"Reminder: Pay your utility bills by the end of the week.",spam
"Good news! You've been promoted. Celebrate with us.",ham
"Unlock the potential of your business with our new software.",spam
"Sorry, but I can't make it to the dinner tonight.",ham
"Flash sale alert! Get up to 50% off on selected items.",spam
"Congratulations on your new job! Let's celebrate.",ham
"Hurry! Limited-time offer on our premium subscription.",spam
"Can you recommend a good book to read?",ham
"Important: Your package delivery has been rescheduled.",spam
"Reminder: Dentist appointment at 10 AM tomorrow.",ham
"Special discount for our VIP customers. Shop now!",spam
"Let's plan a weekend getaway. What do you think?",ham
"URGENT: Your account will be deactivated in 24 hours. Act now!",spam
"Congratulations on your graduation! Best wishes for the future.",ham
"Unlock exclusive benefits with our loyalty program. Join today!",spam
"Sorry for the short notice, but I have to cancel our meeting.",ham
"Flash sale: Get the latest fashion trends at unbeatable prices.",spam
"Invitation to our annual company picnic. RSVP by Friday.",ham
"Upgrade to our premium membership for additional features.",spam
"Can we meet for lunch to discuss the project?",ham
"Your online order is out for delivery. Track your package now.",spam
"Chill out this summer with our cool refreshing drinks.",spam
"Apologies for the confusion. The meeting is at 3 PM, not 2 PM.",ham
"Exclusive early access to our Black Friday deals. Don't miss out!",spam
"Movie night at my place. What's your favorite genre?",ham
"URGENT: Your account has been compromised. Secure it now!",spam
"Reminder: Submit your project reports by the end of the day.",ham
"Special offer for our loyal customers: Buy one, get one 50% off.",spam
"Sorry, I won't be able to attend the party this weekend.",ham
"Flash sale alert! Grab your favorite items before they're gone.",spam
"Happy holidays! Wishing you joy and happiness.",ham
"Claim your free trial of our premium streaming service.",spam
"Meeting at the cafe for a brainstorming session. Join us!",ham
"Last call for our exclusive webinar on business success.",spam
"Apologies for the late reply. Let's schedule a call next week.",ham
"Limited stock available. Shop now and enjoy huge discounts!",spam
"Family dinner at our place this Sunday. Can you make it?",ham
"Important notice: Your subscription will expire soon. Renew now.",spam
"Reminder: Doctor's appointment at 2 PM tomorrow.",ham
"Unlock the secrets to a healthy lifestyle with our new guide.",spam
"Sorry, I can't make it to the party. Have a great time!",ham
"Exclusive early access to our spring collection. Shop now!",spam
"URGENT: Your account will be suspended if not verified immediately.",spam
"Congratulations on your engagement! Wishing you a lifetime of happiness.",ham
"Upgrade to our premium plan for unlimited benefits.",spam
"Can you provide feedback on the latest project proposal?",ham
"Breaking news: Limited-time offer on all beauty products!",spam
"Meeting at the office tomorrow. Please come prepared.",ham
"Unlock premium features with our new software update.",spam
"Sorry, I have to cancel our lunch plans. Can we reschedule?",ham
"Special discount for our newsletter subscribers. Check your inbox!",spam
"Let's meet for coffee and catch up. How about this weekend?",ham
"Important: Your credit card statement is now available online.",spam
"Exclusive offer for our online customers. Use code: SAVE20.",spam
"Family game night at our place. Bring your favorite board games!",ham
"URGENT: Your account security has been compromised. Take action now!",spam
"Reminder: Parent-Teacher conference next week. Please attend.",ham
"Limited-time offer: Buy one, get one free on selected items.",spam
"Working late tonight. Will be home by 9 PM.",ham
"URGENT: Your password has been reset. Click to confirm.",spam
"Enjoy the weekend with our special discount on all products.",spam
"Late for the party. Save me a dance!",ham
"Your Netflix subscription has been renewed. Enjoy watching!",ham
"Claim your free trial of our premium membership now.",spam
"Let's plan a family outing this Sunday.",ham
"Exclusive pre-sale access for our valued customers. Don't miss out!",spam
"Can you pick up some milk on your way home?",ham
"Breaking news: Special discounts on electronics this weekend!",spam
"Apologies, but I won't be able to make it to the meeting.",ham
"Double your savings with our end-of-season clearance sale.",spam
"Family barbecue at our place next weekend. Save the date!",ham
"URGENT: Your account is locked. Verify your identity.",spam
